"APPLIC";"NM_ENTRY_MENU";"DS_ENTRY_MENU";"NI_LIVELLO_ENTRY_MENU";"NI_ORD_ENTRY_MENU";"NM_ENTRY_MENU_PADRE";"DL_LINK_ENTRY_MENU"
"SACER_DIPS";"Menu";"Menu principale";1;1;"";""
"SACER_DIPS";"Menu.AmministrazioneSistema";"Amministrazione Sistema";2;2;"Menu";""
"SACER_DIPS";"Menu.AmministrazioneSistema.GestioneJob";"Gestione Job legacy";3;2;"Menu.AmministrazioneSistema";"GestioneJob.html?operation=initOnClick&amp;cleanhistory=true"
"SACER_DIPS";"Menu.AmministrazioneSistema.GestioneJobRicerca";"Gestione Job";3;1;"Menu.AmministrazioneSistema";"GestioneJob.html?operation=gestioneJobRicercaPage&amp;cleanhistory=true"
"SACER_DIPS";"Menu.Informazioni";"Informazioni su";2;3;"Menu";""
"SACER_DIPS";"Menu.Informazioni.NoteRilascioVersCor";"Note sulla versione corrente";3;1;"Menu.Informazioni";"NoteRilascio.html?operation=ricercaNoteRilascioPage&amp;cleanhistory=true"
"SACER_DIPS";"Menu.Ricerche";"Ricerche";2;1;"Menu";""
"SACER_DIPS";"Menu.Ricerche.LUM";"Ricerca referti LUM";3;2;"Menu.Ricerche";"Ricerca.html?operation=initOnClick&amp;cleanhistory=true&amp;r=LUM&amp;VOID_SESSION=true"
"SACER_DIPS";"Menu.Ricerche.PAB";"Ricerca Documentazione di Gara";3;5;"Menu.Ricerche";"Ricerca.html?operation=initOnClick&amp;cleanhistory=true&amp;r=PAB&amp;VOID_SESSION=true"
"SACER_DIPS";"Menu.Ricerche.PUG";"Ricerca strumenti urbanistici";3;3;"Menu.Ricerche";"Ricerca.html?operation=initOnClick&amp;cleanhistory=true&amp;r=PUG&amp;VOID_SESSION=true"
"SACER_DIPS";"Menu.Ricerche.Pievesestina";"Ricerca referti";3;1;"Menu.Ricerche";"Ricerca.html?operation=initOnClick&amp;cleanhistory=true&amp;r=Pievesestina&amp;VOID_SESSION=true"
"SACER_DIPS";"Menu.Ricerche.SISMA";"Ricerca progetti ricostruzione";3;4;"Menu.Ricerche";"Ricerca.html?operation=initOnClick&amp;cleanhistory=true&amp;r=SISMA&amp;VOID_SESSION=true"
"SACER_DIPS";Menu.AmministrazioneSistema.SchedulazioniJob;Schedulazioni Job;3;3;Menu.AmministrazioneSistema;"GestioneJob.html?operation=schedulazioniJob&amp;cleanhistory=true"
