"APPLIC";"NM_PAGINA_WEB";"DS_PAGINA_WEB";"TI_HELP_ON_LINE";"ENTRY_MENU"
"SACER_DIPS";"/LUM/refertiCollegatiLUM";"Referti collegati";"HELP_PAGINA";"Menu principale - Ricerche - Ricerca referti LUM"
"SACER_DIPS";"/PAB/dettaglioPABTipoDoc";"Dettaglio del tipo documento";"HELP_PAGINA";"Menu principale - Ricerche - Ricerca Documentazione di Gara"
"SACER_DIPS";"/PUG/dettaglioTipoDoc";"Dettaglio del tipo documento";"HELP_PAGINA";"Menu principale - Ricerche - Ricerca strumenti urbanistici"
"SACER_DIPS";"/Pievesestina/refertiCollegati";"Referti collegati";"HELP_PAGINA";"Menu principale - Ricerche - Ricerca referti"
"SACER_DIPS";"/SISMA/dettaglioSISMATipoDoc";"Dettaglio del tipo documento";"HELP_PAGINA";"Menu principale - Ricerche - Ricerca progetti ricostruzione"
"SACER_DIPS";"/amministrazioneSistema/gestioneJob";"Gestione Job legacy";"HELP_PAGINA";"Menu principale - Amministrazione Sistema - Gestione Job legacy"
"SACER_DIPS";"/amministrazioneSistema/gestioneJobRicerca";"Gestione Job";"HELP_PAGINA";"Menu principale - Amministrazione Sistema - Gestione Job"
"SACER_DIPS";"/amministrazioneSistema/schedulazioniJobList";"Schedulazioni job";"HELP_PAGINA";"Menu principale - Amministrazione Sistema - Schedulazioni Job"
"SACER_DIPS";"/confirmDeletePage";"(Home) - Conferma cancellazione";"HELP_PAGINA";"Menu principale"
"SACER_DIPS";"/home";"Home - Home";"HELP_PAGINA";"Menu principale"
"SACER_DIPS";"/informazioni/dettaglioNoteRilascio";"Dettaglio note di rilascio";"HELP_PAGINA";"Menu principale - Informazioni su - Note sulla versione corrente"
"SACER_DIPS";"/login/informativa";"Home - Informativa sui cookies";"HELP_PAGINA";"Menu principale"
"SACER_DIPS";"[LUM]/dettaglio/dettaglio";"Dettaglio sul referto";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca referti LUM"
"SACER_DIPS";"[LUM]/ricerca/ricerca";"Ricerca referti";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca referti LUM"
"SACER_DIPS";"[PAB]/PAB/dettaglioPAB";"Dettaglio della UD Documento di Gara";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca Documentazione di Gara"
"SACER_DIPS";"[PAB]/ricerca/ricerca";"Ricerca Documentazione di Gara";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca Documentazione di Gara"
"SACER_DIPS";"[PUG]/PUG/dettaglioPUG";"Dettaglio sullo strumento urbanistico";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca strumenti urbanistici"
"SACER_DIPS";"[PUG]/ricerca/ricerca";"Ricerca strumenti urbanistici";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca strumenti urbanistici"
"SACER_DIPS";"[Pievesestina]/dettaglio/dettaglio";"Dettaglio sul referto";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca referti"
"SACER_DIPS";"[Pievesestina]/ricerca/ricerca";"Ricerca referti";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca referti"
"SACER_DIPS";"[SISMA]/SISMA/dettaglioSISMA";"Dettaglio del progetto ricostruzione";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca progetti ricostruzione"
"SACER_DIPS";"[SISMA]/ricerca/ricerca";"Ricerca progetti ricostruzione";"HELP_RICERCA_DIPS";"Menu principale - Ricerche - Ricerca progetti ricostruzione"
